"","Country.Name","Country.Code","MMR_Level","AFR_Level","Growth_Level","Participation_Level","PC_Level","Savings_Level","HIVW_Level","HIV_Total_Level","Edu_Level","MMR_Level_score","AFR_Level_score","Growth_Level_score","Participation_Level_score","PC_Level_score","Savings_Level_score","HIVW_Level_score","HIV_Total_Level_score","Edu_Level_score","composite_score","weighted_score","score_group","weighted_group"
"126","Early-demographic dividend","EAR","Low MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,1,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
"127","East Asia & Pacific","EAS","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,3,1,3,3,3,2,2.55555555555556,2.45,"High","High"
"128","East Asia & Pacific","EAS","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,1,3,3,3,2,2.44444444444444,2.35,"High","High"
"129","East Asia & Pacific (IDA & IBRD countries)","TEA","Low MMR","Low AFR","Medium growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,2,3,3,3,2,2.55555555555556,2.5,"High","High"
"130","East Asia & Pacific (IDA & IBRD countries)","TEA","Low MMR","Low AFR","Medium growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,2,3,3,3,2,2.55555555555556,2.5,"High","High"
"131","East Asia & Pacific (IDA & IBRD)","TEA","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,2,3,1,2,3,3,2,2.44444444444444,2.35,"High","High"
"132","East Asia & Pacific (IDA & IBRD)","TEA","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,2,2,1,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"133","East Asia & Pacific (excluding high income)","EAP","Low MMR","Low AFR","Medium growth","High participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,3,1,3,3,3,2,2.55555555555556,2.45,"High","High"
"134","East Asia & Pacific (excluding high income)","EAP","Low MMR","Low AFR","Medium growth","Medium participation","Low GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,2,2,1,3,3,3,2,2.44444444444444,2.35,"High","High"
"135","Ecuador","ECU","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"136","Ecuador","ECU","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"137","Egypt, Arab Rep.","EGY","Low MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,1,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
"138","Egypt, Arab Rep.","EGY","Low MMR","Medium AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Low education",3,2,1,1,1,2,2,3,1,1.77777777777778,1.75,"Low","Low"
"139","El Salvador","SLV","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"140","El Salvador","SLV","Low MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",3,2,1,2,1,2,3,3,1,2,1.9,"Low","Low"
"141","Equatorial Guinea","GNQ","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,2,2,1,2,1,1,1,1.44444444444444,1.55,"Low","Low"
"142","Equatorial Guinea","GNQ","Medium MMR","High AFR","Medium growth","Medium participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,2,2,1,2,1,1,1,1.44444444444444,1.55,"Low","Low"
"143","Eritrea","ERI","Medium MMR","Medium AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,3,1,2,1,3,1,1.77777777777778,1.7,"Low","Low"
"144","Eritrea","ERI","Medium MMR","Medium AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,2,1,3,1,2,1,3,1,1.77777777777778,1.7,"Low","Low"
"145","Estonia","EST","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Medium share","Low prevalence","High education",3,3,1,3,2,2,2,3,3,2.44444444444444,2.4,"High","High"
"146","Estonia","EST","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Medium share","Low prevalence","High education",3,3,1,2,2,2,2,3,3,2.33333333333333,2.3,"Medium","High"
"147","Eswatini","SWZ","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",2,2,1,2,1,2,1,2,1,1.55555555555556,1.55,"Low","Low"
"148","Eswatini","SWZ","Medium MMR","Medium AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Medium prevalence","Low education",2,2,1,2,1,2,1,2,1,1.55555555555556,1.55,"Low","Low"
"149","Ethiopia","ETH","Medium MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,3,1,2,1,3,1,1.77777777777778,1.75,"Low","Low"
"150","Ethiopia","ETH","Medium MMR","High AFR","Medium growth","High participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,2,3,1,2,1,3,1,1.77777777777778,1.75,"Low","Low"
"151","Euro area","EMU","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"152","Euro area","EMU","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"153","Europe & Central Asia","ECS","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,3,2,2,3,3,2,2.44444444444444,2.35,"High","High"
"154","Europe & Central Asia","ECS","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"155","Europe & Central Asia (IDA & IBRD countries)","TEC","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,3,2,2,3,3,2,2.44444444444444,2.35,"High","High"
"156","Europe & Central Asia (IDA & IBRD countries)","TEC","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"157","Europe & Central Asia (IDA & IBRD)","TEC","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"158","Europe & Central Asia (IDA & IBRD)","TEC","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"159","Europe & Central Asia (excluding high income)","ECA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"160","Europe & Central Asia (excluding high income)","ECA","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"161","European Union","EUU","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"162","European Union","EUU","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"163","Faroe Islands","FRO","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,3,2,2,3,3,2,2.44444444444444,2.35,"High","High"
"164","Faroe Islands","FRO","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,2,2,3,3,2,2.33333333333333,2.25,"Medium","Medium"
"165","Fiji","FJI","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,3,1,2,1,2,2,3,2,2.11111111111111,2.05,"Medium","Medium"
"166","Fiji","FJI","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","Medium savings","Medium share","Low prevalence","Medium education",3,3,1,1,1,2,2,3,2,2,1.95,"Low","Medium"
"167","Finland","FIN","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"168","Finland","FIN","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
"169","Fragile and conflict affected situations","FCS","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"170","Fragile and conflict affected situations","FCS","Medium MMR","High AFR","Low growth","Medium participation","Low GDPpc","Medium savings","High share","Low prevalence","Low education",2,1,1,2,1,2,1,3,1,1.55555555555556,1.5,"Low","Low"
"171","France","FRA","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,3,2,2,3,3,3,2.55555555555556,2.45,"High","High"
"172","France","FRA","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","Medium savings","Low share","Low prevalence","High education",3,3,1,2,2,2,3,3,3,2.44444444444444,2.35,"High","High"
